"externalId";"name";"email";"secondEmail";"organizationType";"active"
84;"Porto – Centro Hospitalar do Porto - EPE";"civil2.porto@irn.mj.pt";"civil2.porto@irn.mj.pt";"HOSPITAL_UNIT";"true"
85;"Porto – Centro Hospitalar de S. João - EPE ";"civil4.porto@irn.mj.pt";"civil4.porto@irn.mj.pt";"HOSPITAL_UNIT";"true"
86;"Póvoa do Varzim – Centro Hospitalar Póvoa de Varzim/Vila do Conde - EPE ";"civil.pvarzim@irn.mj.pt";"civil.pvarzim@irn.mj.pt";"HOSPITAL_UNIT";"true"
87;"Póvoa do Varzim – Hospital LUZ Póvoa de Varzim/ Póvoa de Varzim";"civil.pvarzim@irn.mj.pt";"civil.pvarzim@irn.mj.pt";"HOSPITAL_UNIT";"true"
88;"Santarém – Hospital de Santarém - EPE";"civil.santarem@irn.mj.pt";"civil.santarem@irn.mj.pt";"HOSPITAL_UNIT";"true"
89;"Setúbal – Centro Hospitalar de Setúbal - EPE ";"civil.setubal@irn.mj.pt";"civil.setubal@irn.mj.pt";"HOSPITAL_UNIT";"true"
90;"Viana do Castelo – Unidade Local de Saúde do Alto Minho - EPE ";"civil.vcastelo@irn.mj.pt";"civil.vcastelo@irn.mj.pt";"HOSPITAL_UNIT";"true"
91;"Santa Maria da Feira – Centro Hospitalar de Entre Douro e Vouga - EPE ";"civil.smfeira@irn.mj.pt";"civil.smfeira@irn.mj.pt";"HOSPITAL_UNIT";"true"
92;"Vila Franca de Xira – Hospital de Vila Franca de Xira - PPP";"civil.vfxira@irn.mj.pt";"civil.vfxira@irn.mj.pt";"HOSPITAL_UNIT";"true"
93;"Vila Nova de Famalicão – Centro Hospitalar do Médio Ave - EPE ";"civil.vnfamalicao@irn.mj.pt";"civil.vnfamalicao@irn.mj.pt";"HOSPITAL_UNIT";"true"
94;"Vila Nova de Gaia – Centro Hospitalar de Vila Nova de Gaia/Espinho - EPE";"civil.vngaia@irn.mj.pt";"civil.vngaia@irn.mj.pt";"HOSPITAL_UNIT";"true"
95;"Vila Real – Centro Hospitalar de Trás-os-Montes e Alto Douro - EPE";"civil.vreal@irn.mj.pt";"civil.vreal@irn.mj.pt";"HOSPITAL_UNIT";"true"
96;"Viseu – Centro Hospitalar Tondela Viseu - EPE";"civil.viseu@irn.mj.pt";"civil.viseu@irn.mj.pt";"HOSPITAL_UNIT";"true"
97;"Amadora – Clinica de Santo António - Reboleira (lusíadas Saúde)";"civil.amadora@irn.mj.pt";"civil.amadora@irn.mj.pt";"HOSPITAL_UNIT";"true"
98;"Vila Nova de Gaia – Hospital Luz Arrábida";"civil.vngaia@irn.mj.pt";"civil.vngaia@irn.mj.pt";"HOSPITAL_UNIT";"true"
99;"Porto -Lusiadas (Porto)";"civil4.porto@irn.mj.pt";"civil4.porto@irn.mj.pt";"HOSPITAL_UNIT";"true"
100;"Porto – Hospital da Lapa (Porto)";"civil2.porto@irn.mj.pt";"civil2.porto@irn.mj.pt";"HOSPITAL_UNIT";"true"
101;"Faro - Hospital Particular do Argarve";"civil.faro@irn.mj.pt";"civil.faro@irn.mj.pt";"HOSPITAL_UNIT";"true"
103;"Nascimento em casa";"civil.vcastelo@irn.mj.pt";"civil.vcastelo@irn.mj.pt";"HOSPITAL_UNIT";"true"
104;"Trofa – Trofa Saúde";"civil.stirso@irn.mj.pt";"civil.stirso@irn.mj.pt";"HOSPITAL_UNIT";"true"
105;"Porto – Casa de Saúde da Boavista (PORTO)";"civil1.porto@irn.mj.pt";"civil1.porto@irn.mj.pt";"HOSPITAL_UNIT";"true"
106;"Hospital teste";"pramalho@linkare.com";"pramalho@linkare.com";"HOSPITAL_UNIT";"true"
107;"1ª CRC Porto";"civil1.porto@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
108;"CRC Santo Tirso";"civil.stirso@irn.mj.pt";;"CIVIL_REGISTRATION_OFFICE";"true"
109;"Outras unidades de saúde privadas em Portugal";"civil.braga@irn.mj.pt";"civil.braga@irn.mj.pt";"OTHER_HOSPITAL_UNIT";"true"
110;"Linkare Conservatória";"rmartins@linkare.com";;"CIVIL_REGISTRATION_OFFICE";"true"
