"externalId";"name";"code";"active"
"DJI";"Djibouti";"DJI";"true"
"DMA";"Dominica";"DMA";"true"
"DOM";"República Dominicana";"DOM";"true"
"ECU";"Equador";"ECU";"true"
"EGY";"Egito";"EGY";"true"
"SLV";"El Salvador";"SLV";"true"
"GNQ";"Guiné Equatorial";"GNQ";"true"
"ERI";"Eritreia";"ERI";"true"
"EST";"Estónia";"EST";"true"
"ETH";"Etiópia";"ETH";"true"
"FRO";"Ilhas Faroé";"FRO";"true"
"FLK";"Libra de Ilhas Falkland";"FLK";"true"
"FJI";"Ilhas Fiji";"FJI";"true"
"FIN";"Finlândia";"FIN";"true"
"FRA";"França";"FRA";"true"
"GUF";"Guiana francesa";"GUF";"true"
"PYF";"Polinésia francesa";"PYF";"true"
"ATF";"Territórios franceses do Sul";"ATF";"false"
"GAB";"Gabão";"GAB";"true"
"GMB";"Gâmbia";"GMB";"true"
"GEO";"Geórgia";"GEO";"true"
"DEU";"Alemanha";"DEU";"true"
"GHA";"Gana";"GHA";"true"
"GIB";"Gibraltar";"GIB";"true"
"GRC";"Grécia";"GRC";"true"
"GRL";"Gronelândia";"GRL";"true"
"GRD";"Grenada";"GRD";"true"
"GLP";"Guadalupe";"GLP";"true"
"GUM";"Guam";"GUM";"true"
"GTM";"Guatemala";"GTM";"true"
"GGY";"Guernsey";"GGY";"true"
"GIN";"Guiné";"GIN";"true"
"GNB";"Guiné-Bissau";"GNB";"true"
"GUY";"Guiana";"GUY";"true"
"HTI";"Haiti";"HTI";"true"
"HMD";"Ilha Heard e Ilhas McDonald";"HMD";"true"
"HND";"Honduras";"HND";"true"
"HKG";"Hong Kong";"HKG";"true"
"HUN";"Hungria";"HUN";"true"
"ISL";"Islândia";"ISL";"true"
"IND";"Índia";"IND";"true"
"IDN";"Indonésia";"IDN";"true"
"IRN";"Irão";"IRN";"true"
"IRQ";"Iraque";"IRQ";"true"
"IRL";"Irlanda";"IRL";"true"
"IMN";"Ilha de Man";"IMN";"true"
"ISR";"Israel";"ISR";"true"
"ITA";"Itália";"ITA";"true"
"CIV";"Costa do Marfim";"CIV";"true"
"JAM";"Jamaica";"JAM";"true"
"JPN";"Japão";"JPN";"true"
"JEY";"Jersey";"JEY";"false"
"JOR";"Jordânia";"JOR";"true"
"KAZ";"Cazaquistão";"KAZ";"true"
"KEN";"Quénia";"KEN";"true"
"KIR";"Kiribati";"KIR";"true"
"KWT";"Kuwait";"KWT";"true"
"KGZ";"Quirguistão";"KGZ";"true"
"LAO";"Laos";"LAO";"true"
"LVA";"Letónia";"LVA";"true"
"LBN";"Líbano";"LBN";"true"
"LSO";"Lesoto";"LSO";"true"
"LBR";"Libéria";"LBR";"true"
"LBY";"Líbia";"LBY";"true"
"LIE";"Liechtenstein";"LIE";"true"
"LTU";"Lituânia";"LTU";"true"
"LUX";"Luxemburgo";"LUX";"true"
"MAC";"Macau";"MAC";"true"
"MKD";"Macedónia";"MKD";"true"
"MDG";"Madagascar";"MDG";"true"
"MWI";"Malawi";"MWI";"true"
"MYS";"Malásia";"MYS";"true"
"MDV";"Maldivas";"MDV";"true"
"MLI";"Mali";"MLI";"true"
"MLT";"Malta";"MLT";"true"
"MHL";"Ilhas Marshall";"MHL";"true"
"MTQ";"Martinica";"MTQ";"true"
"MRT";"Mauritânia";"MRT";"true"
"MUS";"Maurício";"MUS";"true"
"MYT";"Ilha Mayotte";"MYT";"true"
"MEX";"México";"MEX";"true"
"FSM";"Micronésia";"FSM";"false"
"MDA";"Moldávia";"MDA";"true"
"MCO";"Mónaco";"MCO";"true"
"MNG";"Mongólia";"MNG";"true"
"MNE";"Montenegro";"MNE";"true"
"MSR";"Montserrat";"MSR";"true"
"MAR";"Marrocos";"MAR";"true"
"MOZ";"Moçambique";"MOZ";"true"
"NAM";"Namíbia";"NAM";"true"
"NRU";"Nauru";"NRU";"true"
"NPL";"Nepal";"NPL";"true"
"NLD";"Países Baixos";"NLD";"true"
"ANT";"Antilhas Holandesas";"ANT";"true"
"NCL";"Nova Caledónia";"NCL";"true"
"NZL";"Nova Zelândia";"NZL";"true"
"NIC";"Nicarágua";"NIC";"true"
"NER";"Níger";"NER";"true"
"NGA";"Nigéria";"NGA";"true"
"NIU";"Niue";"NIU";"true"
"NFK";"Ilha Norfolk";"NFK";"true"
"PRK";"Coreia do Norte";"PRK";"true"
"MNP";"Ilhas Marianas do Norte";"MNP";"true"
"NOR";"Noruega";"NOR";"true"
"OMN";"Omã";"OMN";"true"
"PAK";"Paquistão";"PAK";"true"
"PLW";"Palau";"PLW";"true"
"PSE";"Palestina";"PSE";"true"
"PAN";"Panamá";"PAN";"true"
"PNG";"Papua Nova Guiné Kina";"PNG";"true"
"PRY";"Paraguai";"PRY";"true"
"PER";"Peru";"PER";"true"
"PHL";"Filipinas";"PHL";"true"
"PCN";"Pitcairn";"PCN";"true"
"POL";"Polónia";"POL";"true"
"PRT";"Portugal";"PRT";"true"
"PRI";"Porto Rico";"PRI";"true"
"QAT";"Catar";"QAT";"true"
"COD";"República do Congo";"COD";"true"
"REU";"Ilha da reunião";"REU";"false"
"ROU";"Roménia";"ROU";"true"
"RUS";"Rússia";"RUS";"true"
"RWA";"Ruanda";"RWA";"true"
"SMR";"San Marino";"SMR";"true"
"STP";"São Tomé Príncipe";"STP";"true"
"SAU";"Arábia Saudita";"SAU";"true"
"SEN";"Senegal";"SEN";"true"
"SRB";"Sérvia e Montenegro";"SRB";"false"
"SYC";"Seychelles";"SYC";"true"
"SLE";"Serra Leoa";"SLE";"true"
"SGP";"Singapura";"SGP";"true"
"SXM";"Sint Maarten";"SXM";"true"
"SVK";"Eslováquia";"SVK";"true"
"SVN";"Eslovénia";"SVN";"true"
"SLB";"Ilhas Salomão";"SLB";"true"
"SOM";"Somália";"SOM";"true"
"ZAF";"África do Sul";"ZAF";"true"
"SGS";"Ilhas Sandwich do Sul de Geórgia do Sul";"SGS";"true"
"KOR";"Coreia do Sul";"KOR";"true"
"SSD";"Sudão do Sul";"SSD";"true"
"ESP";"Espanha";"ESP";"true"
"LKA";"Sri Lanka";"LKA";"true"
"BLM";"St. Barthelemy";"BLM";"true"
"SHN";"Santa Helena";"SHN";"true"
"KNA";"São Cristóvão";"KNA";"false"
"LCA";"St. Lucia";"LCA";"true"
"MAF";"St. Martin";"MAF";"true"
"SPM";"St. Pierre Miquelon";"SPM";"true"
"VCT";"São Vicente";"VCT";"true"
"SDN";"Sudão";"SDN";"true"
"SUR";"Suriname";"SUR";"true"
"SWZ";"Suazilândia";"SWZ";"true"
"SWE";"Suécia";"SWE";"true"
"CHE";"Suíça";"CHE";"true"
"SYR";"Síria";"SYR";"true"
"TWN";"Taiwan";"TWN";"true"
"TJK";"Tajiquistão";"TJK";"true"
"TZA";"Tanzânia";"TZA";"true"
"THA";"Tailândia";"THA";"true"
"TLS";"Timor-Leste";"TLS";"true"
"TGO";"Togo";"TGO";"true"
"TKL";"Tokelau";"TKL";"true"
"TON";"Tonga";"TON";"true"
"TTO";"Trinidad Tobago";"TTO";"true"
"TUN";"Tunísia";"TUN";"true"
"TUR";"Turquia";"TUR";"true"
"TKM";"Turcomenistão";"TKM";"true"
"TCA";"Turcos";"TCA";"true"
"TUV";"Tuvalu";"TUV";"true"
"UGA";"Uganda";"UGA";"true"
"UKR";"Ucrânia";"UKR";"true"
"ARE";"Emirados Árabes Unidos";"ARE";"true"
"GBR";"Reino Unido";"GBR";"true"
"USA";"Estados Unidos";"USA";"true"
"UMI";"Estados Unidos ilhas menores distantes dos";"UMI";"true"
"VIR";"Ilhas Virgens americanas";"VIR";"true"
"URY";"Uruguai";"URY";"true"
"UZB";"Uzbequistão";"UZB";"true"
"VUT";"Vanuatu";"VUT";"true"
"VAT";"Cidade do Vaticano";"VAT";"false"
"VEN";"Venezuela";"VEN";"true"
"VNM";"Vietname";"VNM";"true"
"WLF";"Wallis Futuna";"WLF";"true"
"ESH";"Saara Ocidental";"ESH";"false"
"WSM";"Samoa Ocidental";"WSM";"true"
"YEM";"Iêmen";"YEM";"true"
"ZMB";"Zâmbia";"ZMB";"true"
"ZWE";"Zimbábue";"ZWE";"true"
